image,segment_01\establishing.jpg,segment_01\facade_01.jpg,segment_01\facade_02.jpg,segment_01\facade_03.jpg,segment_02\establishing.jpg,segment_02\facade_01.jpg,segment_02\facade_02.jpg,segment_02\facade_03.jpg,segment_02\facade_04.jpg,segment_03\establishing.jpg,segment_03\facade_01.jpg,segment_03\facade_02.jpg,segment_03\facade_03.jpg,segment_03\facade_04.jpg,segment_04\establishing.jpg,segment_04\facade_01.jpg,segment_04\facade_02.jpg,segment_04\facade_03.jpg,segment_05\establishing.jpg,segment_05\facade_01.jpg,segment_05\facade_02.jpg,segment_06\establishing.jpg,segment_06\facade_01.jpg,segment_06\facade_02.jpg,segment_07\establishing.jpg,segment_07\facade_01.jpg,segment_07\facade_02.jpg,segment_08\establishing.jpg,segment_08\facade_01.jpg,segment_08\facade_02.jpg,segment_08\facade_03.jpg
segment_04\facade_02.jpg,0.79381,0.71404,0.74110,0.71609,0.82250,0.83824,0.81734,0.80733,0.82243,0.59654,0.50848,0.32125,0.67499,0.45606,0.24006,0.47135,0.00000,0.28322,0.61940,0.54809,0.57839,0.59479,0.60513,0.52120,0.72876,0.86083,0.54800,0.75884,0.67896,0.49956,0.83852
segment_04\facade_03.jpg,0.76298,0.66132,0.75053,0.70025,0.68052,0.68949,0.65768,0.65150,0.68596,0.63459,0.54696,0.47769,0.72258,0.44388,0.21921,0.43664,0.28322,0.00000,0.66140,0.58629,0.63457,0.54951,0.60589,0.49521,0.65725,0.75045,0.49587,0.76721,0.67322,0.55977,0.89260
segment_05\establishing.jpg,0.40201,0.40640,0.51465,0.42038,0.61560,0.56157,0.65742,0.73902,0.86816,0.47733,0.53418,0.53360,0.51396,0.51290,0.60812,0.73060,0.61940,0.66140,0.00000,0.23621,0.53768,0.81470,0.56089,0.82088,0.66670,0.76631,0.40707,0.58709,0.84840,0.36950,0.58120
segment_05\facade_01.jpg,0.40030,0.42686,0.45000,0.46325,0.66922,0.62459,0.58972,0.76744,0.83876,0.37867,0.51332,0.49489,0.39100,0.51587,0.47861,0.64956,0.54809,0.58629,0.23621,0.00000,0.49723,0.71720,0.50391,0.75772,0.64071,0.76774,0.42069,0.66740,0.85620,0.43713,0.56791
segment_05\facade_02.jpg,0.45881,0.39394,0.32473,0.39531,0.74752,0.61229,0.72895,0.82761,0.79830,0.43607,0.42236,0.46600,0.47810,0.49631,0.62392,0.71949,0.57839,0.63457,0.53768,0.49723,0.00000,0.61527,0.48641,0.66939,0.71577,0.79177,0.47968,0.64242,0.79399,0.38662,0.56498
segment_06\establishing.jpg,0.73055,0.71803,0.66859,0.72631,0.73526,0.75346,0.67696,0.63131,0.58311,0.65607,0.67336,0.64290,0.75507,0.73067,0.47139,0.42243,0.59479,0.54951,0.81470,0.71720,0.61527,0.00000,0.46686,0.16444,0.49185,0.64617,0.72370,0.71520,0.64653,0.67685,0.85961
segment_06\facade_01.jpg,0.56973,0.51840,0.45052,0.52804,0.66189,0.70878,0.54118,0.80433,0.78126,0.59297,0.59291,0.66210,0.61934,0.69681,0.46994,0.67132,0.60513,0.60589,0.56089,0.50391,0.48641,0.46686,0.00000,0.67325,0.62178,0.79313,0.56830,0.68658,0.89042,0.52748,0.61115
segment_06\facade_02.jpg,0.76888,0.73076,0.73185,0.72117,0.73318,0.72911,0.72526,0.56671,0.53829,0.71108,0.62249,0.58019,0.82205,0.64190,0.54246,0.30316,0.52120,0.49521,0.82088,0.75772,0.66939,0.16444,0.67325,0.00000,0.52589,0.62495,0.64813,0.78820,0.52496,0.63729,1.01565
segment_07\establishing.jpg,0.56884,0.62891,0.62334,0.60707,0.54242,0.51596,0.46711,0.47371,0.49675,0.68976,0.71618,0.80641,0.75209,0.74275,0.65436,0.47468,0.72876,0.65725,0.66670,0.64071,0.71577,0.49185,0.62178,0.52589,0.00000,0.26627,0.53992,0.59496,0.53924,0.62976,0.80015
segment_07\facade_01.jpg,0.71273,0.72731,0.79513,0.70570,0.59538,0.59373,0.56600,0.44538,0.51701,0.83799,0.82699,0.89313,0.88110,0.87767,0.79129,0.50237,0.86083,0.75045,0.76631,0.76774,0.79177,0.64617,0.79313,0.62495,0.26627,0.00000,0.65254,0.64645,0.60483,0.78302,0.87910
segment_07\facade_02.jpg,0.44453,0.38067,0.47435,0.35641,0.55108,0.47609,0.63498,0.60986,0.73897,0.45881,0.48393,0.50079,0.43494,0.47747,0.54582,0.60134,0.54800,0.49587,0.40707,0.42069,0.47968,0.72370,0.56830,0.64813,0.53992,0.65254,0.00000,0.52164,0.63942,0.34071,0.55833
segment_08\establishing.jpg,0.64472,0.61357,0.65923,0.53849,0.62492,0.60791,0.76306,0.72084,0.83163,0.58799,0.77443,0.70069,0.56422,0.79262,0.72526,0.62480,0.75884,0.76721,0.58709,0.66740,0.64242,0.71520,0.68658,0.78820,0.59496,0.64645,0.52164,0.00000,0.49743,0.54180,0.47081
segment_08\facade_01.jpg,0.77835,0.78244,0.83531,0.71234,0.74491,0.67385,0.75330,0.64666,0.69371,0.73942,0.81008,0.74423,0.72892,0.82949,0.72816,0.41353,0.67896,0.67322,0.84840,0.85620,0.79399,0.64653,0.89042,0.52496,0.53924,0.60483,0.63942,0.49743,0.00000,0.66849,0.90197
segment_08\facade_02.jpg,0.54051,0.40845,0.45787,0.40616,0.72002,0.65506,0.68946,0.76531,0.71993,0.55415,0.38331,0.35583,0.55643,0.38399,0.59775,0.60514,0.49956,0.55977,0.36950,0.43713,0.38662,0.67685,0.52748,0.63729,0.62976,0.78302,0.34071,0.54180,0.66849,0.00000,0.59293
segment_08\facade_03.jpg,0.55391,0.56363,0.55412,0.53657,0.81429,0.62583,0.87944,0.98567,0.98752,0.52360,0.73750,0.72578,0.41290,0.78905,0.82258,0.92652,0.83852,0.89260,0.58120,0.56791,0.56498,0.85961,0.61115,1.01565,0.80015,0.87910,0.55833,0.47081,0.90197,0.59293,0.00000
